,Geographic Area,City,Median Income,poverty_rate,percent_completed_hs,share_white,share_black,share_native_american,share_asian,share_hispanic
72,AL,Carlisle-Rockledge,35938.0,17.2,73.1,95.0,0.9,0.9,0.1,3.1
73,AL,Carolina,50278.0,7.4,87.8,96.6,0.3,0.3,0.0,0.0
74,AL,Carrollton,27857.0,29.1,71.0,49.0,43.1,0.1,0.0,10.4
75,AL,Castleberry,20677.0,39.6,75.9,59.2,38.4,0.3,0.0,0.5
76,AL,Cedar Bluff,36389.0,25.8,77.9,86.2,9.9,0.7,0.3,1.2
77,AL,Center Point,39944.0,25.0,87.1,32.6,62.9,0.2,0.4,4.8
78,AL,Centre,31268.0,25.1,76.7,87.0,9.9,0.4,0.3,1.2
79,AL,Centreville,41103.0,22.4,81.6,72.2,23.7,0.3,0.4,3.0
80,AL,Chatom,35365.0,19.8,76.0,68.2,31.1,0.0,0.0,0.6
81,AL,Chelsea,85757.0,4.9,93.5,89.5,5.7,0.3,2.0,3.2
82,AL,Cherokee,28359.0,19.9,80.9,77.6,18.3,0.5,0.3,1.7
83,AL,Chickasaw,30973.0,33.6,79.9,63.0,33.6,0.8,0.5,2.3
84,AL,Childersburg,25948.0,38.6,78.8,60.1,36.9,0.4,0.5,1.3
85,AL,Choccolocco,54825.0,14.7,89.4,87.5,7.2,0.3,0.7,4.3
86,AL,Citronelle,48125.0,16.9,82.5,70.7,20.2,4.9,0.5,2.6
87,AL,Clanton,39823.0,16.9,76.8,74.9,19.1,0.3,0.6,6.0
88,AL,Clay,68717.0,6.6,92.2,84.1,13.3,0.3,0.6,1.3
89,AL,Clayhatchee,32656.0,16.4,85.3,94.9,1.7,0.3,0.3,2.4
90,AL,Clayton,25203.0,29.3,57.8,35.8,63.8,0.0,0.0,0.6
91,AL,Cleveland,40909.0,15.0,74.4,89.2,0.3,0.2,0.3,18.4
92,AL,Clio,19539.0,31.4,63.1,32.0,36.5,0.4,0.5,36.0
93,AL,Coaling,54167.0,19.5,88.2,86.4,11.4,0.1,0.1,0.8
94,AL,Coats Bend,42821.0,15.0,90.9,84.4,12.6,0.5,0.0,0.9
95,AL,Coffee Springs,33636.0,21.2,78.0,96.1,0.0,0.0,0.0,2.6
96,AL,Coffeeville,19583.0,41.3,71.7,51.4,46.0,0.0,0.0,0.6
97,AL,Coker,45795.0,10.0,89.2,95.2,2.0,0.2,0.9,1.8
98,AL,Collinsville,25795.0,32.1,52.0,47.8,9.0,1.1,0.1,43.1
99,AL,Colony,33063.0,24.8,77.0,10.4,86.9,0.0,0.4,0.4
100,AL,Columbia,31806.0,20.1,79.0,77.0,21.1,0.4,0.0,0.4
101,AL,Columbiana,32700.0,24.0,74.4,71.3,25.1,0.3,0.2,3.0
102,AL,Concord,44620.0,7.9,91.3,98.5,0.5,0.2,0.2,0.5
103,AL,Coosada,47406.0,23.5,84.3,57.7,40.0,0.4,0.2,2.9
104,AL,Cordova,19139.0,32.8,79.8,83.4,14.5,0.8,0.1,0.7
105,AL,Cottonwood,25313.0,29.8,76.3,71.8,25.4,0.6,0.0,1.1
106,AL,County Line,55313.0,10.7,83.9,94.2,1.2,3.1,1.2,0.4
107,AL,Courtland,33125.0,25.8,79.6,57.6,38.4,1.3,0.3,0.3
108,AL,Cowarts,43533.0,11.7,86.0,80.8,14.6,0.7,0.1,1.7
109,AL,Creola,51705.0,18.1,84.4,84.7,9.8,1.8,0.1,3.1
110,AL,Crossville,30833.0,38.1,70.4,88.7,0.4,1.9,0.2,8.3
111,AL,Cuba,40673.0,21.0,92.1,85.3,13.0,0.6,0.0,0.3
112,AL,Cullman,38746.0,21.9,85.3,93.4,0.9,0.3,0.9,8.2
113,AL,Cusseta,52500.0,9.3,83.7,95.9,2.4,0.0,1.6,0.0
114,AL,Dadeville,29368.0,28.8,73.7,50.2,47.5,0.3,0.6,0.9
115,AL,Daleville,45651.0,24.5,85.3,66.2,22.6,1.1,2.7,10.1
116,AL,Daphne,60737.0,11.2,95.8,84.1,11.8,0.4,1.5,2.9
117,AL,Dauphin Island,63594.0,3.6,95.8,97.3,0.4,1.0,0.2,0.7
118,AL,Daviston,47639.0,12.9,87.8,88.8,10.3,0.0,0.9,1.9
119,AL,Deatsville,78125.0,5.1,96.3,77.6,19.4,0.1,0.3,1.6
120,AL,Decatur,41496.0,21.2,82.7,66.5,21.7,0.7,0.9,12.4
121,AL,Demopolis,27656.0,31.0,89.1,47.3,50.1,0.1,0.5,2.4
122,AL,Detroit,24107.0,27.9,64.8,83.1,13.9,0.0,0.0,0.4
123,AL,Dodge City,41346.0,16.7,81.7,96.0,0.7,0.8,0.0,2.5
124,AL,Dora,40769.0,17.2,82.3,85.6,12.2,0.3,0.0,0.7
125,AL,Dothan,42426.0,19.1,86.2,63.1,32.5,0.4,1.1,2.9
126,AL,Double Springs,29063.0,27.5,74.5,97.3,0.6,0.8,0.2,0.4
127,AL,Douglas,29318.0,34.9,78.5,93.3,0.8,0.4,0.0,3.9
128,AL,Dozier,21765.0,30.3,79.1,59.6,35.3,0.3,0.3,0.0
129,AL,Dunnavant,42857.0,7.7,76.0,96.7,0.4,0.7,0.0,2.3
130,AL,Dutton,39688.0,24.2,90.6,90.8,2.5,0.0,0.0,3.2
131,AL,East Brewton,26736.0,30.6,83.6,74.7,20.8,0.6,0.0,3.1
132,AL,East Point,62059.0,0.0,91.4,96.5,0.0,0.0,1.0,3.5
